year,ore_tonn,waste_tonn,cashflow,discounted,cum_discounted
1,9986700.0,123205980.0,-26572398.91825,-26572398.91825,-26572398.91825
2,9999780.0,492540.0,73516661.46594,63927531.709513046,37355132.791263044
3,9997680.0,180180.0,71785349.47883001,54280037.41310398,91635170.20436703
4,9986880.0,278280.0,66078484.0854,43447675.90064931,135082846.10501635
5,9998460.0,419820.0,74506541.08271,42599356.68195012,177682202.78696647
6,9994860.0,48120.0,66656864.287549995,33140242.171705276,210822444.95867175
7,9987360.0,830460.0,80814807.6284,34938471.49604108,245760916.45471284
8,9983880.0,586620.0,77742355.71651,29226231.084712885,274987147.53942573
9,9992640.0,500640.0,87514542.41593,28608659.153103184,303595806.6925289
